Hex (24 bit),Red (8 bit),Green (8 bit),Blue (8 bit),Hex (24 bit),color
#f88379,248,131,121,#f88379,pink
#ff4040,255,64,64,#ff4040,red
#893f45,137,63,69,#893f45,purple
#fbec5d,251,236,93,#fbec5d,yellow
#b31b1b,179,27,27,#b31b1b,red
#9aceeb,154,206,235,#9aceeb,blue
#6495ed,100,149,237,#6495ed,blue
#fff8dc,255,248,220,#fff8dc,beige
#fff8e7,255,248,231,#fff8e7,beige
#ffbcd9,255,188,217,#ffbcd9,pink
#fffdd0,255,253,208,#fffdd0,beige
#dc143c,220,20,60,#dc143c,red
#990000,153,0,0,#990000,red
#be0032,190,0,50,#be0032,red
#00ffff,0,255,255,#00ffff,blue
#ffff31,255,255,49,#ffff31,yellow
#f0e130,240,225,48,#f0e130,yellow
#00008b,0,0,139,#00008b,blue
#654321,101,67,33,#654321,brown
#5d3954,93,57,84,#5d3954,purple
#a40000,164,0,0,#a40000,red
#08457e,8,69,126,#08457e,blue
#986960,152,105,96,#986960,brown
#cd5b45,205,91,69,#cd5b45,orange
#008b8b,0,139,139,#008b8b,blue
#536878,83,104,120,#536878,blue
#b8860b,184,134,11,#b8860b,yellow
#a9a9a9,169,169,169,#a9a9a9,gray
#013220,1,50,32,#013220,green
#1a2421,26,36,33,#1a2421,black
#bdb76b,189,183,107,#bdb76b,yellow
#483c32,72,60,50,#483c32,brown
#734f96,115,79,150,#734f96,purple
#8b008b,139,0,139,#8b008b,purple
#003366,0,51,102,#003366,blue
#556b2f,85,107,47,#556b2f,green
#ff8c00,255,140,0,#ff8c00,orange
#9932cc,153,50,204,#9932cc,purple
#779ecb,119,158,203,#779ecb,blue
#03c03c,3,192,60,#03c03c,green
#966fd6,150,111,214,#966fd6,purple
#c23b22,194,59,34,#c23b22,red
#e75480,231,84,128,#e75480,pink
#003399,0,51,153,#003399,blue
#872657,135,38,87,#872657,purple
#8b0000,139,0,0,#8b0000,red
#e9967a,233,150,122,#e9967a,beige
#560319,86,3,25,#560319,red
#8fbc8f,143,188,143,#8fbc8f,green
#3c1414,60,20,20,#3c1414,brown
#483d8b,72,61,139,#483d8b,blue
#2f4f4f,47,79,79,#2f4f4f,green
#177245,23,114,69,#177245,green
#918151,145,129,81,#918151,brown
#ffa812,255,168,18,#ffa812,orange
#483c32,72,60,50,#483c32,brown
#cc4e5c,204,78,92,#cc4e5c,pink
#00ced1,0,206,209,#00ced1,blue
#9400d3,148,0,211,#9400d3,purple
#00693e,0,105,62,#00693e,green
#555555,85,85,85,#555555,gray
#d70a53,215,10,83,#d70a53,pink
#a9203e,169,32,62,#a9203e,pink
#ef3038,239,48,56,#ef3038,red
#e9692c,233,105,44,#e9692c,orange
#da3287,218,50,135,#da3287,pink
#fad6a5,250,214,165,#fad6a5,beige
#b94e48,185,78,72,#b94e48,red
#704241,112,66,65,#704241,brown
#c154c1,193,84,193,#c154c1,pink
#004b49,0,75,73,#004b49,blue
#9955bb,153,85,187,#9955bb,purple
#cc00cc,204,0,204,#cc00cc,pink
#ffcba4,255,203,164,#ffcba4,beige
#ff1493,255,20,147,#ff1493,pink
#ff9933,255,153,51,#ff9933,orange
#00bfff,0,191,255,#00bfff,blue
#1560bd,21,96,189,#1560bd,blue
#c19a6b,193,154,107,#c19a6b,beige
#edc9af,237,201,175,#edc9af,pink
#696969,105,105,105,#696969,gray
#1e90ff,30,144,255,#1e90ff,blue
#d71868,215,24,104,#d71868,pink
#85bb65,133,187,101,#85bb65,green
#967117,150,113,23,#967117,brown
#00009c,0,0,156,#00009c,blue
#e1a95f,225,169,95,#e1a95f,beige
#c2b280,194,178,128,#c2b280,beige
#614051,97,64,81,#614051,purple
#f0ead6,240,234,214,#f0ead6,white
#1034a6,16,52,166,#1034a6,blue
#7df9ff,125,249,255,#7df9ff,blue
#ff003f,255,0,63,#ff003f,pink
#00ffff,0,255,255,#00ffff,blue
#00ff00,0,255,0,#00ff00,green
#6f00ff,111,0,255,#6f00ff,purple
#f4bbff,244,187,255,#f4bbff,pink
#ccff00,204,255,0,#ccff00,green
#bf00ff,191,0,255,#bf00ff,purple
#3f00ff,63,0,255,#3f00ff,blue
#8f00ff,143,0,255,#8f00ff,purple
#ffff00,255,255,0,#ffff00,yellow
#50c878,80,200,120,#50c878,green
#96c8a2,150,200,162,#96c8a2,green
#c19a6b,193,154,107,#c19a6b,brown
#801818,128,24,24,#801818,red
#ff00ff,255,0,255,#ff00ff,pink
#b53389,181,51,137,#b53389,pink
#f400a1,244,0,161,#f400a1,pink
#e5aa70,229,170,112,#e5aa70,beige
#4d5d53,77,93,83,#4d5d53,gray
#71bc78,113,188,120,#71bc78,green
#4f7942,79,121,66,#4f7942,green
#ff2800,255,40,0,#ff2800,red
#6c541e,108,84,30,#6c541e,brown
#ce2029,206,32,41,#ce2029,red
#b22222,178,34,34,#b22222,red
#e25822,226,88,34,#e25822,orange
#fc8eac,252,142,172,#fc8eac,pink
#f7e98e,247,233,142,#f7e98e,yellow
#eedc82,238,220,130,#eedc82,yellow
#fffaf0,255,250,240,#fffaf0,white
#ffbf00,255,191,0,#ffbf00,yellow
#ff1493,255,20,147,#ff1493,pink
#ccff00,204,255,0,#ccff00,green
#ff004f,255,0,79,#ff004f,pink
#228b22,34,139,34,#228b22,green
#a67b5b,166,123,91,#a67b5b,brown
#0072bb,0,114,187,#0072bb,blue
#86608e,134,96,142,#86608e,purple
#f64a8a,246,74,138,#f64a8a,pink
#ff00ff,255,0,255,#ff00ff,pink
#ff77ff,255,119,255,#ff77ff,pink
#e48400,228,132,0,#e48400,orange
#cc6666,204,102,102,#cc6666,pink
#dcdcdc,220,220,220,#dcdcdc,gray
#e49b0f,228,155,15,#e49b0f,orange
#f8f8ff,248,248,255,#f8f8ff,white
#b06500,176,101,0,#b06500,orange
#6082b6,96,130,182,#6082b6,blue
#e6e8fa,230,232,250,#e6e8fa,gray
#ffd700,255,215,0,#ffd700,yellow
#996515,153,101,21,#996515,brown
#fcc200,252,194,0,#fcc200,yellow
#ffdf00,255,223,0,#ffdf00,yellow
#daa520,218,165,32,#daa520,red
#a8e4a0,168,228,160,#a8e4a0,green
#808080,128,128,128,#808080,gray
#465945,70,89,69,#465945,green
#00ff00,0,255,0,#00ff00,green
#1164b4,17,100,180,#1164b4,blue
#adff2f,173,255,47,#adff2f,green
#a99a86,169,154,134,#a99a86,beige
#00ff7f,0,255,127,#00ff7f,green
#663854,102,56,84,#663854,purple
#446ccf,68,108,207,#446ccf,blue
#5218fa,82,24,250,#5218fa,blue
#e9d66b,233,214,107,#e9d66b,yellow
#3fff00,63,255,0,#3fff00,green
#c90016,201,0,22,#c90016,red
#da9100,218,145,0,#da9100,orange
#808000,128,128,0,#808000,green
#df73ff,223,115,255,#df73ff,pink
#f400a1,244,0,161,#f400a1,pink
#f0fff0,240,255,240,#f0fff0,white
#49796b,73,121,107,#49796b,green
#ff1dce,255,29,206,#ff1dce,pink
#ff69b4,255,105,180,#ff69b4,pink
#355e3b,53,94,59,#355e3b,green
#fcf75e,252,247,94,#fcf75e,yellow
#b2ec5d,178,236,93,#b2ec5d,green
#138808,19,136,8,#138808,green
#cd5c5c,205,92,92,#cd5c5c,red
#e3a857,227,168,87,#e3a857,orange
#4b0082,75,0,130,#4b0082,purple
#002fa7,0,47,167,#002fa7,blue
#ff4f00,255,79,0,#ff4f00,orange
#5a4fcf,90,79,207,#5a4fcf,blue
#f4f0ec,244,240,236,#f4f0ec,white
#009000,0,144,0,#009000,green
#fffff0,255,255,240,#fffff0,white
#00a86b,0,168,107,#00a86b,green
#f8de7e,248,222,126,#f8de7e,yellow
#d73b3e,215,59,62,#d73b3e,red
#a50b5e,165,11,94,#a50b5e,pink
#fada5e,250,218,94,#fada5e,yellow
#bdda57,189,218,87,#bdda57,green
#29ab87,41,171,135,#29ab87,green
#e8000d,232,0,13,#e8000d,red
#4cbb17,76,187,23,#4cbb17,green
#c3b091,195,176,145,#c3b091,beige
#087830,8,120,48,#087830,green
#d6cadd,214,202,221,#d6cadd,pink
#26619c,38,97,156,#26619c,blue
#fefe22,254,254,34,#fefe22,yellow
#a9ba9d,169,186,157,#a9ba9d,gray
#cf1020,207,16,32,#cf1020,red
#e6e6fa,230,230,250,#e6e6fa,purple
#ccccff,204,204,255,#ccccff,purple
#fff0f5,255,240,245,#fff0f5,pink
#c4c3d0,196,195,208,#c4c3d0,gray
#9457eb,148,87,235,#9457eb,purple
#ee82ee,238,130,238,#ee82ee,pink
#e6e6fa,230,230,250,#e6e6fa,gray
#fbaed2,251,174,210,#fbaed2,pink
#967bb6,150,123,182,#967bb6,purple
#fba0e3,251,160,227,#fba0e3,pink
#7cfc00,124,252,0,#7cfc00,green
#fff700,255,247,0,#fff700,yellow
#fff44f,255,244,79,#fff44f,red
#fffacd,255,250,205,#fffacd,yellow
#bfff00,191,255,0,#bfff00,green
#f56991,245,105,145,#f56991,pink
#e68fac,230,143,172,#e68fac,pink
#fdd5b1,253,213,177,#fdd5b1,beige
#add8e6,173,216,230,#add8e6,blue
#b5651d,181,101,29,#b5651d,brown
#e66771,230,103,113,#e66771,pink
#f08080,240,128,128,#f08080,pink
#93ccea,147,204,234,#93ccea,blue
#e0ffff,224,255,255,#e0ffff,green
#f984ef,249,132,239,#f984ef,pink
#fafad2,250,250,210,#fafad2,beige
#d3d3d3,211,211,211,#d3d3d3,gray
#90ee90,144,238,144,#90ee90,green
#f0e68c,240,230,140,#f0e68c,yellow
#b19cd9,177,156,217,#b19cd9,purple
#ffb6c1,255,182,193,#ffb6c1,pink
#ffa07a,255,160,122,#ffa07a,orange
#ff9999,255,153,153,#ff9999,pink
#20b2aa,32,178,170,#20b2aa,green
#87cefa,135,206,250,#87cefa,blue
#778899,119,136,153,#778899,gray
#b38b6d,179,139,109,#b38b6d,brown
#ffffed,255,255,237,#ffffed,beige
#c8a2c8,200,162,200,#c8a2c8,purple
#bfff00,191,255,0,#bfff00,green
#32cd32,50,205,50,#32cd32,green
#195905,25,89,5,#195905,green
#faf0e6,250,240,230,#faf0e6,beige
#c19a6b,193,154,107,#c19a6b,brown
#534b4f,83,75,79,#534b4f,gray
#e62020,230,32,32,#e62020,red
#18453b,24,69,59,#18453b,green
#ffbd88,255,189,136,#ffbd88,orange
#ff00ff,255,0,255,#ff00ff,pink
#aaf0d1,170,240,209,#aaf0d1,green
#f8f4ff,248,244,255,#f8f4ff,beige
#c04000,192,64,0,#c04000,red
#fbec5d,251,236,93,#fbec5d,yellow
#6050dc,96,80,220,#6050dc,purple
#0bda51,11,218,81,#0bda51,green
#979aaa,151,154,170,#979aaa,gray
#ff8243,255,130,67,#ff8243,orange
#74c365,116,195,101,#74c365,green
#800000,128,0,0,#800000,red
#e0b0ff,224,176,255,#e0b0ff,purple
#915f6d,145,95,109,#915f6d,brown
#ef98aa,239,152,170,#ef98aa,pink
#73c2fb,115,194,251,#73c2fb,blue
#e5b73b,229,183,59,#e5b73b,yellow
#0067a5,0,103,165,#0067a5,blue
#66ddaa,102,221,170,#66ddaa,green
#0000cd,0,0,205,#0000cd,blue
#e2062c,226,6,44,#e2062c,red
#af4035,175,64,53,#af4035,red
#f3e5ab,243,229,171,#f3e5ab,yellow
#035096,3,80,150,#035096,blue
#1c352d,28,53,45,#1c352d,green
#dda0dd,221,160,221,#dda0dd,pink
#ba55d3,186,85,211,#ba55d3,purple
#9370db,147,112,219,#9370db,purple
#bb3385,187,51,133,#bb3385,purple
#3cb371,60,179,113,#3cb371,green
#7b68ee,123,104,238,#7b68ee,purple
#c9dc87,201,220,135,#c9dc87,purple
#00fa9a,0,250,154,#00fa9a,green
#674c47,103,76,71,#674c47,brown
#0054b4,0,84,180,#0054b4,blue
#48d1cc,72,209,204,#48d1cc,blue
#c71585,199,21,133,#c71585,purple
#fdbcb4,253,188,180,#fdbcb4,pink
#191970,25,25,112,#191970,blue
#004953,0,73,83,#004953,blue
#ffc40c,255,196,12,#ffc40c,yellow
#3eb489,62,180,137,#3eb489,green
#f5fffa,245,255,250,#f5fffa,white
#98ff98,152,255,152,#98ff98,green
#ffe4e1,255,228,225,#ffe4e1,pink
#faebd7,250,235,215,#faebd7,beige
#967117,150,113,23,#967117,brown
#73a9c2,115,169,194,#73a9c2,blue
#ae0c00,174,12,0,#ae0c00,red
#addfad,173,223,173,#addfad,green
#30ba8f,48,186,143,#30ba8f,green
#997a8d,153,122,141,#997a8d,purple
#c54b8c,197,75,140,#c54b8c,pink
#f2f3f4,242,243,244,#f2f3f4,white
#ffdb58,255,219,88,#ffdb58,yellow
#21421e,33,66,30,#21421e,green
#f6adc6,246,173,198,#f6adc6,pink
#2a8000,42,128,0,#2a8000,green
#fada5e,250,218,94,#fada5e,yellow
#ffdead,255,222,173,#ffdead,beige
#000080,0,0,128,#000080,blue
#ffa343,255,163,67,#ffa343,orange
#fe59c2,254,89,194,#fe59c2,pink
#39ff14,57,255,20,#39ff14,green
#a4dded,164,221,237,#a4dded,blue
#059033,5,144,51,#059033,green
#0077be,0,119,190,#0077be,blue
#cc7722,204,119,34,#cc7722,brown
#008000,0,128,0,#008000,green
#cfb53b,207,181,59,#cfb53b,yellow
#fdf5e6,253,245,230,#fdf5e6,white
#796878,121,104,120,#796878,gray
#673147,103,49,71,#673147,purple
#c08081,192,128,129,#c08081,pink
#808000,128,128,0,#808000,green
#6b8e23,107,142,35,#6b8e23,green
#bab86c,186,184,108,#bab86c,green
#9ab973,154,185,115,#9ab973,green
#0f0f0f,15,15,15,#0f0f0f,black
#b784a7,183,132,167,#b784a7,pink
#ffa500,255,165,0,#ffa500,orange
#f8d568,248,213,104,#f8d568,yellow
#ff9f00,255,159,0,#ff9f00,orange
#ff4500,255,69,0,#ff4500,red
#da70d6,218,112,214,#da70d6,pink
#654321,101,67,33,#654321,brown
#414a4c,65,74,76,#414a4c,gray
#ff6e4a,255,110,74,#ff6e4a,orange
#002147,0,33,71,#002147,blue
#1ca9c9,28,169,201,#1ca9c9,blue
#006600,0,102,0,#006600,green
#273be2,39,59,226,#273be2,blue
#682860,104,40,96,#682860,pink
#bcd4e6,188,212,230,#bcd4e6,blue
#afeeee,175,238,238,#afeeee,blue
#987654,152,118,84,#987654,brown
#af4035,175,64,53,#af4035,red
#9bc4e2,155,196,226,#9bc4e2,blue
#ddadaf,221,173,175,#ddadaf,pink
#da8a67,218,138,103,#da8a67,orange
#abcdef,171,205,239,#abcdef,blue
#e6be8a,230,190,138,#e6be8a,beige
#eee8aa,238,232,170,#eee8aa,yellow
#98fb98,152,251,152,#98fb98,green
#dcd0ff,220,208,255,#dcd0ff,purple
#f984e5,249,132,229,#f984e5,pink
#fadadd,250,218,221,#fadadd,pink
#dda0dd,221,160,221,#dda0dd,pink
#db7093,219,112,147,#db7093,pink
#96ded1,150,222,209,#96ded1,green
#c9c0bb,201,192,187,#c9c0bb,gray
#ecebbd,236,235,189,#ecebbd,yellow
#bc987e,188,152,126,#bc987e,brown
#db7093,219,112,147,#db7093,pink
#78184a,120,24,74,#78184a,purple
#ffefd5,255,239,213,#ffefd5,beige
#50c878,80,200,120,#50c878,green
#aec6cf,174,198,207,#aec6cf,gray
#836953,131,105,83,#836953,brown
#cfcfc4,207,207,196,#cfcfc4,beige
#77dd77,119,221,119,#77dd77,green
#f49ac2,244,154,194,#f49ac2,pink
#ffb347,255,179,71,#ffb347,orange
#ffd1dc,255,209,220,#ffd1dc,pink
#b39eb5,179,158,181,#b39eb5,purple
#ff6961,255,105,97,#ff6961,orange
#cb99c9,203,153,201,#cb99c9,purple
#fdfd96,253,253,150,#fdfd96,yellow
#800080,128,0,128,#800080,purple
#536878,83,104,120,#536878,blue
#ffe5b4,255,229,180,#ffe5b4,beige
#ffdab9,255,218,185,#ffdab9,beige
#fadfad,250,223,173,#fadfad,beige
#d1e231,209,226,49,#d1e231,green
#eae0c8,234,224,200,#eae0c8,beige
#88d8c0,136,216,192,#88d8c0,green
#e6e200,230,226,0,#e6e200,yellow
#ccccff,204,204,255,#ccccff,purple
#1c39bb,28,57,187,#1c39bb,blue
#32127a,50,18,122,#32127a,purple
#d99058,217,144,88,#d99058,orange
#f77fbe,247,127,190,#f77fbe,pink
#701c1c,112,28,28,#701c1c,brown
#cc3333,204,51,51,#cc3333,red
#fe28a2,254,40,162,#fe28a2,pink
#df00ff,223,0,255,#df00ff,purple
#000f89,0,15,137,#000f89,blue
#123524,18,53,36,#123524,green
#fddde6,253,221,230,#fddde6,pink
#01796f,1,121,111,#01796f,green
#ffc0cb,255,192,203,#ffc0cb,pink
#fc74fd,252,116,253,#fc74fd,pink
#f78fa7,247,143,167,#f78fa7,pink
#e7accf,231,172,207,#e7accf,pink
#93c572,147,197,114,#93c572,green
#e5e4e2,229,228,226,#e5e4e2,white
#dda0dd,221,160,221,#dda0dd,pink
#ff5a36,255,90,54,#ff5a36,orange
#b0e0e6,176,224,230,#b0e0e6,blue
#ff8f00,255,143,0,#ff8f00,orange
#003153,0,49,83,#003153,blue
#df00ff,223,0,255,#df00ff,purple
#cc8899,204,136,153,#cc8899,pink
#ff7518,255,117,24,#ff7518,orange
#800080,128,0,128,#800080,purple
#69359c,105,53,156,#69359c,purple
#9d81ba,157,129,186,#9d81ba,purple
#9678b6,150,120,182,#9678b6,purple
#fe4eda,254,78,218,#fe4eda,pink
#50404d,80,64,77,#50404d,brown
#5d8aa8,93,138,168,#5d8aa8,blue
#ff355e,255,53,94,#ff355e,pink
#e30b5d,227,11,93,#e30b5d,red
#915f6d,145,95,109,#915f6d,purple
#e25098,226,80,152,#e25098,pink
#b3446c,179,68,108,#b3446c,pink
#d68a59,214,138,89,#d68a59,orange
#ff33cc,255,51,204,#ff33cc,pink
#e3256b,227,37,107,#e3256b,pink
#ff0000,255,0,0,#ff0000,red
#ff5349,255,83,73,#ff5349,orange
#a52a2a,165,42,42,#a52a2a,red
#c71585,199,21,133,#c71585,pink
#004040,0,64,64,#004040,blue
#d70040,215,0,64,#d70040,red
#0892d0,8,146,208,#0892d0,blue
#b666d2,182,102,210,#b666d2,purple
#b03060,176,48,96,#b03060,pink
#414833,65,72,51,#414833,gray
#1fcecb,31,206,203,#1fcecb,blue
#ff007f,255,0,127,#ff007f,pink
#f9429e,249,66,158,#f9429e,pink
#674846,103,72,70,#674846,brown
#b76e79,183,110,121,#b76e79,pink
#e32636,227,38,54,#e32636,red
#ff66cc,255,102,204,#ff66cc,pink
#aa98a9,170,152,169,#aa98a9,gray
#905d5d,144,93,93,#905d5d,brown
#ab4e52,171,78,82,#ab4e52,red
#65000b,101,0,11,#65000b,red
#d40000,212,0,0,#d40000,red
#bc8f8f,188,143,143,#bc8f8f,pink
#0038a8,0,56,168,#0038a8,blue
#4169e1,65,105,225,#4169e1,blue
#ca2c92,202,44,146,#ca2c92,pink
#7851a9,120,81,169,#7851a9,purple
#e0115f,224,17,95,#e0115f,pink
#ff0028,255,0,40,#ff0028,red
#bb6528,187,101,40,#bb6528,brown
#e18e96,225,142,150,#e18e96,pink
#a81c07,168,28,7,#a81c07,red
#80461b,128,70,27,#80461b,brown
#b7410e,183,65,14,#b7410e,orange
#00563f,0,86,63,#00563f,green
#8b4513,139,69,19,#8b4513,brown
#ff6700,255,103,0,#ff6700,orange
#f4c430,244,196,48,#f4c430,yellow
#23297a,35,41,122,#23297a,blue
#ff8c69,255,140,105,#ff8c69,pink
#ff91a4,255,145,164,#ff91a4,pink
#c2b280,194,178,128,#c2b280,beige
#967117,150,113,23,#967117,brown
#ecd540,236,213,64,#ecd540,yellow
#f4a460,244,164,96,#f4a460,brown
#967117,150,113,23,#967117,brown
#507d2a,80,125,42,#507d2a,green
#0f52ba,15,82,186,#0f52ba,blue
#cba135,203,161,53,#cba135,brown
#ff2400,255,36,0,#ff2400,red
#ffd800,255,216,0,#ffd800,yellow
#76ff7a,118,255,122,#76ff7a,green
#006994,0,105,148,#006994,blue
#2e8b57,46,139,87,#2e8b57,green
#321414,50,20,20,#321414,brown
#fff5ee,255,245,238,#fff5ee,beige
#ffba00,255,186,0,#ffba00,yellow
#704214,112,66,20,#704214,brown
#8a795d,138,121,93,#8a795d,brown
#45cea2,69,206,162,#45cea2,green
#009e60,0,158,96,#009e60,green
#fc0fc0,252,15,192,#fc0fc0,pink
#882d17,136,45,23,#882d17,red
#c0c0c0,192,192,192,#c0c0c0,gray
#cb410b,203,65,11,#cb410b,red
#007474,0,116,116,#007474,green
#87ceeb,135,206,235,#87ceeb,blue
#cf71af,207,113,175,#cf71af,pink
#6a5acd,106,90,205,#6a5acd,blue
#708090,112,128,144,#708090,gray
#003399,0,51,153,#003399,blue
#933d41,147,61,65,#933d41,red
#100c08,16,12,8,#100c08,black
#fffafa,255,250,250,#fffafa,white
#0fc0fc,15,192,252,#0fc0fc,blue
#a7fc00,167,252,0,#a7fc00,green
#00ff7f,0,255,127,#00ff7f,green
#4682b4,70,130,180,#4682b4,blue
#fada5e,250,218,94,#fada5e,yellow
#990000,153,0,0,#990000,red
#008080,0,128,128,#008080,green
#e4d96f,228,217,111,#e4d96f,green
#ffcc33,255,204,51,#ffcc33,yellow
#fad6a5,250,214,165,#fad6a5,beige
#fd5e53,253,94,83,#fd5e53,red
#d2b48c,210,180,140,#d2b48c,beige
#f94d00,249,77,0,#f94d00,red
#f28500,242,133,0,#f28500,orange
#ffcc00,255,204,0,#ffcc00,yellow
#483c32,72,60,50,#483c32,brown
#8b8589,139,133,137,#8b8589,gray
